bundle_file,offset_start,offset_end,length,source,target
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,5918,5923,3,16歳,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,5952,5961,5,5月20日,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,5969,6268,103,"成績優秀で運動神経も抜群、正義感が強いため男女問わず学内で信頼されている。
「カフェ 棋桜」には定期的に訪れ、常連の中でもトップクラスの強さを誇る。
将棋でも人生でも""まっすぐであること""を大切にしている。",
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,6289,6301,4,そふぃあ,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,6309,6322,5,清水 理沙,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,6330,6335,3,22歳,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,6364,6373,5,9月25日,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,6381,6773,134,"修道院で暮らすシスター。
""精神修行""の一環として将棋を学び始めたところ、冷静沈着な性格と深い集中力がかみ合い、修道院の中でトップの実力を持つように。
子供が正解手を指した時には、無意識のうちに頭をなでる癖がある。
撫でている時は聖母の微笑みを浮かべているという噂も。",
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,6794,6813,7,やくも たきな,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,6821,6831,4,岬 なこ,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,6873,6883,6,10月26日,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,6891,7221,112,"名だたる将棋の棋士の孫娘として幼い頃から将棋に触れて育った。
高い棋力を持ちながらも、礼儀を重んじ、「盤を挟めば誰とでも分かり合える」という信念を持つ。
「カフェ 棋桜」には、和菓子と将棋を楽しむ時間を求めてたびたび訪れる。",
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,7242,7254,4,よいづき,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,7262,7275,5,日笠 陽子,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,7283,7288,3,19歳,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,7317,7326,5,6月12日,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,7334,7820,166,"忍者の里に生まれたくノ一で、表の世界に下りて以来、あらゆる武芸の達人に挑んできた。
ある時、将棋に触れ、その奥深さに魅了される。以来""将棋で最強を目指す""という異色のくノ一として各地を渡り歩いている。
なお、将棋にはまりすぎて忍ぶ技術が低下している。
将棋カフェ「カフェ 棋桜」には時折姿を現し、腕利きの客たちに腕試しで挑んでいる。",
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,7841,7863,8,かみたに しろう,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,7871,7884,5,岡本 信彦,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,7926,7936,6,11月16日,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,7944,8193,85,"過去に金城 豪に助けられた恩があるらしく、恩返しとして「カフェ 棋桜」の用心棒をしてくれる青年。
基本的に店の隅で腕組みをして目を閉じているか、静かに詰将棋を解いている。",
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,8214,8236,8,きんじょう ごう,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,8244,8257,5,服部 英史,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,8265,8270,3,45歳,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,8299,8308,5,1月11日,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,8316,8576,90,"実業家であり、【カフェ 棋桜】のスポンサー。
金を出す理由は単純で、「面白そうだから」。
難しい理屈や計算よりも、その場の空気、盛り上がり、将来""デカくなりそうな匂い""を重視する。",
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,8597,8619,8,たかせ こういち,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,8627,8643,6,玉垣 アキト,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,8651,8656,3,32歳,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,8685,8694,5,4月15日,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,8702,9073,125,"大企業勤めのエリートサラリーマン。日中は責任ある業務に追われているが、仕事終わりに「カフェ 棋桜」に立ち寄り、糖分補給と将棋でリセットするのが日課。
一見すると難しい顔で盤面を睨んでいるが、手元には「季節限定・スイーツ」が置かれていることが多々ある。",
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,9095,9110,5,豪華な扇子,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,9123,9147,8,サファイアリング,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,9160,9178,6,ホールケーキ,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,9191,9203,4,桜の盆栽,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,9216,9234,6,桐箱入り煎餅,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,9247,9265,6,和菓子セット,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,9278,9287,3,魔導書,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,9300,9309,3,一升瓶,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,9322,9337,5,暁光の宝珠,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,9350,9365,5,慕情の宝珠,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,9378,9393,5,花信の宝珠,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,9406,9421,5,月華の宝珠,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,9434,9449,5,碧水の宝珠,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,9462,9477,5,叡智の宝珠,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,9490,9505,5,烈火の宝珠,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,9518,9533,5,翠葉の宝珠,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,28261,28270,3,出会い,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,28309,28330,7,対局開始・自分,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,28374,28395,7,対局開始・相手,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,28443,28467,8,対局開始・ミラー,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,28513,28526,5,終局勝利1,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,28563,28576,5,終局勝利2,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,28613,28626,5,終局勝利3,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,28663,28676,5,終局勝利4,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,28713,28734,7,ログイン・普通,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,28773,28800,9,ログイン・契約済み,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,28839,28849,4,メイン1,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,28887,28897,4,メイン2,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,28935,28945,4,メイン3,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,28983,28993,4,メイン4,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,29031,29041,4,メイン5,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,29079,29089,4,メイン6,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,29127,29137,4,メイン7,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,29175,29185,4,メイン8,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,29223,29247,8,プレゼント・通常,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,29295,29319,8,プレゼント・好み,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,29368,29387,7,親密度アップ1,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,29429,29448,7,親密度アップ2,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,29490,29509,7,親密度アップ3,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,29551,29570,7,親密度アップ4,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,29612,29631,7,親密度アップ5,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,29673,29685,4,師弟契約,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,29733,29739,2,王手,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,29778,29796,6,持ち駒使用時,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,29840,29846,2,詰み,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,29881,29890,3,敗北時,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,29928,29940,4,引き分け,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,29978,29990,4,時間切れ,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,30030,30036,2,終盤,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,30075,30087,4,駒成り時,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,30134,30140,2,劣勢,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,30175,30181,2,勝勢,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,30216,30222,2,敗勢,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,30257,30272,5,大駒使用時,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,30320,30329,3,金矢倉,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,30372,30381,3,銀矢倉,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,30424,30433,3,片矢倉,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,30476,30488,4,菊水矢倉,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,30531,30540,3,菱矢倉,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,30583,30595,4,土居矢倉,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,30638,30647,3,総矢倉,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,30690,30705,5,銀立ち矢倉,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,30748,30760,4,矢倉穴熊,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,30803,30818,5,カブト囲い,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,30861,30870,3,右矢倉,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,30913,30925,4,雁木囲い,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,30968,30983,5,居飛車穴熊,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,31026,31053,9,居飛穴音無しの構え,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,31096,31111,5,松尾流穴熊,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,31154,31166,4,銀冠穴熊,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,31209,31218,3,左美濃,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,31261,31276,5,天守閣美濃,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,31319,31331,4,カニ囲い,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,31374,31383,3,早囲い,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,31426,31438,4,中住まい,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,31481,31493,4,中原囲い,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,31536,31546,6,elmo囲い,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,31589,31601,4,美濃囲い,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,31644,31659,5,片美濃囲い,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,31702,31717,5,高美濃囲い,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,31760,31772,4,木村美濃,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,31815,31824,3,金美濃,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,31867,31876,3,銀美濃,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,31919,31943,8,ダイヤモンド美濃,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,31986,32007,7,ちょんまげ美濃,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,32050,32062,4,大山美濃,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,32105,32117,4,ずれ美濃,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,32160,32172,4,坊主美濃,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,32215,32227,4,升田美濃,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,32270,32288,6,プラチナ美濃,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,32331,32343,4,四枚美濃,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,32386,32401,5,美濃熊囲い,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,32444,32462,6,振り飛車穴熊,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,32505,32511,2,銀冠,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,32554,32566,4,端玉銀冠,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,32609,32615,2,金冠,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,32658,32670,4,金盾囲い,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,32713,32722,3,金無双,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,32765,32780,5,アヒル囲い,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,32823,32834,7,ALSOK囲い,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,32877,32892,5,いちご囲い,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,32935,32947,4,大隅囲い,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,32990,33002,4,空中楼閣,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,33045,33060,5,串カツ囲い,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,33103,33112,3,裾固め,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,33155,33167,4,箱入り娘,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,33210,33219,3,舟囲い,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,33262,33274,4,ビッグ４,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,33317,33335,6,ボナンザ囲い,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,33378,33399,7,ミレニアム囲い,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,33442,33454,4,無敵囲い,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,33497,33509,4,相掛かり,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,33552,33570,6,相掛かり棒銀,
