source,target
◀ 前,◀ Previous
<size=32>最善</size> <size=48>6四歩</size>,<size=32>Best</size> <size=48>6四 Pawn</size>
勝率 38% (-200),Win Rate 38% (-200)
先手優勢,Sente Advantage
35 先手 △5五角打(43),35 Sente △5五 Bishop drop(43)
棋譜コピー,Copy Record
解析,Analysis
棋譜詳細,Record Details
▲７六歩,▲7六 Pawn
△３四歩,△3四 Pawn
▲２六歩,▲2六 Pawn
△８四歩,△8四 Pawn
▲２五歩,▲2五 Pawn
△８五歩,△8五 Pawn
▲７八金,▲7八 Gold
△３二金,△3二 Gold
▲２四歩,▲2四 Pawn
△同歩,△same Pawn
▲同飛,▲same Rook
△８六歩,△8六 Pawn
▲同歩,▲same Pawn
△同飛,△same Rook
▲３四飛,▲3四 Rook
△３三角,△3三 Bishop
▲５八玉,▲5八 King
△２二銀,△2二 Silver
▲３六飛,▲3六 Rook
△５二玉,△5二 King
▲８七歩,▲8七 Pawn
△８四飛,△8四 Rook
▲３八金,▲3八 Gold
△６二銀,△6二 Silver
▲２六飛,▲2六 Rook
△７四歩,△7四 Pawn
▲９六歩,▲9六 Pawn
△９四歩,△9四 Pawn
▲３六歩,▲3六 Pawn
△７三桂,△7三 Knight
▲６八銀,▲6八 Silver
△４二金,△4二 Gold
▲３七桂,▲3七 Knight
△６四歩,△6四 Pawn
▲４六歩,▲4六 Pawn
△６三銀,△6三 Silver
▲４七金,▲4七 Gold
△１四歩,△1四 Pawn
▲１六歩,▲1六 Pawn
△４四歩,△4四 Pawn
▲４五歩,▲4五 Pawn
▲同桂,▲same Knight
△４四銀,△4四 Silver
△２三歩,△2三 Pawn
▲３五歩,▲3五 Pawn
△４五銀,△4五 Silver
▲同金,▲same Gold
△同角,△same Bishop
△３四角,△3四 Bishop
▲２三歩成,▲2三 Pawn+
△同銀,△same Silver
▲２三歩,▲2三 Pawn
△２二金,△2二 Gold
▲８四歩,▲8四 Pawn
▲８五歩,▲8五 Pawn
▲６六角,▲6六 Bishop
△８二飛,△8二 Rook
▲８三歩,▲8三 Pawn
▲４五金,▲4五 Gold
△８一飛,△8一 Rook
想いの市,Memory Market
{0}回 / 日,{0} times / day
{0}件,{0} items
{0}回,{0} times
棋譜ブックマーク数上限,Game Record Bookmark Limit
日替わり市 無料更新回数,Daily Market Free Refreshes
贈り物回数上限,Gift Limit
奉納レベル,Offering Level
日替わり市 最大更新回数,Daily Market Max Refreshes
Lv. 0 の御利益,Lv. 0 Blessing
Lv.{0} の御利益,Lv.{0} Blessing
0回 / 日,0 times / day
報酬: なし,Reward: None
ランク対局 親密度ボーナス,Ranked Match Bond Bonus
0件,0 items
チャット入力,Chat Input
御守は縁結び1回につき1つ獲得できます。,You receive one Charm for each Bond Draw.
対局,Match
"ここから対局を始められます。
全国の強豪と腕を競い合いましょう。","Start matches here.
Test your skill against strong players nationwide."
宿舎,Dorm
"宿舎では棋士との親密度を上げたり、
装飾品をカスタマイズできます。","In the Dorm, raise bonds with players
and customize cosmetics."
"将棋の遊び方は『メニュー』から
いつでも見直すことができます。","You can review how to play Shogi
from the Menu at any time."
縁結び,Bond Draw
"新しい棋士との出会いはこちら。
お気に入りの一人をお迎えしましょう。","Meet new shogi players here.
Welcome your favorite one."
将棋の遊び方について学びますか？,Learn how to play Shogi?
学ぶ,Learn
もう一度詰道場に挑戦したい場合はこちら。,Come here to challenge Tsume Dojo again.
"対局の前に詰道場でトレーニングしてみましょう！

（詰道場とは相手の王将を詰ますパズルです）","Train in Tsume Dojo before a match!

(Tsume Dojo is a puzzle where you checkmate the opponent's king.)"
遊ぶ,Play
"ほかにも様々な機能があります。
ぜひ試してみてください。","There are many other features too.
Try them out."
市場,Market
"アイテムや装飾品の購入はこちら。
対局を華やかに彩りましょう。","Buy items and cosmetics here.
Add style to your matches."
棋桜へようこそ,Welcome to Kiou
"簡単にホーム画面の使い方を
ご説明いたします。","Here is a quick guide
to the Home screen."
詰道場や詰将棋に挑戦したい場合はこちら。,Come here to try Tsume Dojo or Tsume Shogi.
{0}勝 {1}敗,{0}W {1}L
0勝 0敗,0W 0L
残り2回,2 left
棋桜覚醒,Kiou Awakening
覚醒状態に入り、盤上の真理を視る秘術。,A secret art that awakens you to see the truth of the board.
対局相手を探しています...（0秒）,Searching for opponent... (0 sec)
お得セット,Value Set
（本日の無料更新回数: 残り {0}回）,(Free refreshes today: {0} left)
（本日の無料更新回数: 残り 0回）,(Free refreshes today: 0 left)
日替わり市の商品を更新しますか？,Refresh Daily Market products?
本日の無料更新回数を使い切りました。,You have used all free refreshes today.
無料で更新可能です。,You can refresh for free.
金貨交換,Coin Exchange
歩（ふ）,Pawn
"前に1マスだけ進むことができます。
最も弱い駒ですが、陣形の土台や攻めの起点などさまざまな場面で活躍します。","Moves one square forward.
It is the weakest piece, but it plays many roles: building formations, starting attacks, and more."
香車（きょうしゃ）,Lance
前方にどこまでも突き進むことができます。直線上の破壊力は高いものの横や後ろには一切動けないため、打ちこむ際には注意が必要です。,"Moves any number of squares straight forward. It is powerful on open files, but cannot move sideways or backward, so drops require care."
桂馬（けいま）,Knight
前方に2マス、そこから左右に1マスの地点へ跳ぶ、将棋で唯一ほかの駒を飛び越えられる駒です。前にしか跳べず後退できないため、タイミングを見極めることが重要です。,"Jumps two squares forward and one square left or right. It is the only shogi piece that can jump over other pieces. Since it only jumps forward and cannot retreat, timing is vital."
銀将（ぎんしょう）,Silver General
前方3方向と斜め後ろ2方向に進むことができます。前線で動き回り相手の守りをこじ開ける攻めの使い方が特に光ります。,Moves to the three forward-adjacent squares and the two backward diagonals. It shines as an attacking piece that opens up the opponent's defense.
角行（かく）,Bishop
斜め方向に直進できる大駒です。離れた場所からの破壊力がありますが、縦横には動けず死角も多いため序盤は自陣からにらみを利かせつつ、切り込むタイミングを見極めるのがポイントです。,"A major piece that moves any distance diagonally. It has long-range power, but cannot move orthogonally and has blind spots, so watch for the right time to break through."
飛車（ひしゃ）,Rook
縦横にどこまでも進められる、将棋で最も攻撃力の高い駒です。まずは飛車をうまく活用して成らせることを目標にしましょう。,"Moves any distance vertically or horizontally, making it shogi's strongest attacking piece. Use it well and aim to promote it."
金将（きんしょう）,Gold General
前方への利きが広く、守りの要となる駒です。玉の囲いを固めるのに最適で、終盤では相手玉の真上に打つ「頭金」が強力な詰み筋になります。成ることはできません。,"A key defensive piece with strong forward coverage. It is ideal for castles, and in the endgame a Gold dropped directly above the king is a powerful mating pattern. It cannot promote."
王将（玉将）,King
全方向に1マスずつ進める、最も重要な駒です。この駒を取られると負けになるため、囲いの中でしっかり守りましょう。終盤では相手の攻め駒から逃げきる判断力が勝敗を分けます。,"The most important piece, moving one square in any direction. If it is captured, you lose, so protect it inside a castle. In the endgame, escaping attacks decides the match."
と金（ときん）,Tokin
金将と同じ動きになり、相手にとられても大きな痛手にはなりにくく、厳しい攻めを展開することができます。,"Moves like a Gold General. Even if captured, it is usually not a major loss, making it excellent for strong attacks."
成香（なりきょう）,Promoted Lance
金将と同じ動きになり、前にしか進めない制約がなくなります。敵陣に突き進んだ後は成ることで、そのまま柔軟な攻め駒として立ち回ることができます。,"Moves like a Gold General, removing the Lance's forward-only limit. After entering enemy territory, promote it into a flexible attacking piece."
成桂（なりけい）,Promoted Knight
金将と同じ動きになり、跳ぶ力は失われますが全方向にバランスよく動けるようになります。敵陣に跳ね込んだ後は成って安定した攻め駒として活用しましょう。,"Moves like a Gold General. It loses the Knight's jump, but gains balanced movement. After jumping into enemy territory, promote it for stable attacking power."
成銀（なりぎん）,Promoted Silver
真横と真後ろに動けない弱点が解消されますが、斜め後ろへの利きは失われるため、局面によってはあえて成らず銀のまま使う判断も大切です。,"Promotion fixes its inability to move sideways or straight back, but it loses backward-diagonal moves. Depending on the position, keeping it as a Silver can be best."
龍馬（りゅうま）,Horse
角の動きに縦横1マスが加わり、弱点だった死角が解消された万能駒です。攻めに使うだけでなく、自玉の近くに引きつけて守りの要として使うのも非常に強力です。,"A promoted Bishop that also moves one square orthogonally. Its blind spots are covered, making it a versatile piece for both attack and defense."
龍王（りゅうおう）,Dragon
飛車の動きに加え、斜めにも1マス進めるようになった最強の駒です。敵陣に成り込んだら相手玉の逃げ道を制限しつつ、一気に勝負を決めにいきましょう。,A promoted Rook that also moves one square diagonally. It is the strongest piece; use it to restrict the king's escape and finish the game.
彩の市,Color Market
"未受取
","Unclaimed
"
受取済のギフトはありません。,No claimed gifts.
直近30日間で受け取ったギフトが表示されます。,Gifts claimed in the last 30 days are shown.
一括受取,Claim All
ギフト,Gifts
受け取り可能なギフトはありません。,No gifts available to claim.
受取履歴,Claim History
商店へ,To Shop
名前変更券を使用します。,Use a Name Change Ticket.
一覧,List
